source_code	source_concept_id	source_vocabulary_id	source_code_description	target_concept_id	target_vocabulary_id	valid_start_date	valid_end_date
?	0	Admit Source	ALL_ADMIT_SOURCES.STNDRD_LABEL	0	Visit	2020-09-29	2099-12-31
EXTRAMURAL BIRTH	0	Admit Source	ALL_ADMIT_SOURCES.STNDRD_LABEL	0	Visit	2020-09-29	2099-12-31
FROM DISASTER SITE	0	Admit Source	ALL_ADMIT_SOURCES.STNDRD_LABEL	0	Visit	2020-09-29	2099-12-31
HMO REFERRAL	0	Admit Source	ALL_ADMIT_SOURCES.STNDRD_LABEL	0	Visit	2020-09-29	2099-12-31
NON HEALTHCARE FACILITY	0	Admit Source	ALL_ADMIT_SOURCES.STNDRD_LABEL	0	Visit	2020-09-29	2099-12-31
OTHER NEWBORN	0	Admit Source	ALL_ADMIT_SOURCES.STNDRD_LABEL	0	Visit	2020-09-29	2099-12-31
OTHER OR UNKNOWN	0	Admit Source	ALL_ADMIT_SOURCES.STNDRD_LABEL	0	Visit	2020-09-29	2099-12-31
ROUTINE SCHEDULED	0	Admit Source	ALL_ADMIT_SOURCES.STNDRD_LABEL	0	Visit	2020-09-29	2099-12-31
ROUTINE UNSCHEDULED	0	Admit Source	ALL_ADMIT_SOURCES.STNDRD_LABEL	0	Visit	2020-09-29	2099-12-31
STRUCTURED OUTPATIENT UNIT	0	Admit Source	ALL_ADMIT_SOURCES.STNDRD_LABEL	0	Visit	2020-09-29	2099-12-31
TEST	0	Admit Source	ALL_ADMIT_SOURCES.STNDRD_LABEL	0	Visit	2020-09-29	2099-12-31
FROM HOSPICE	8546	Admit Source	ALL_ADMIT_SOURCES.STNDRD_LABEL	8546	Visit	2020-09-29	2099-12-31
FROM MATERNITY FACILITY	8650	Admit Source	ALL_ADMIT_SOURCES.STNDRD_LABEL	8650	Visit	2020-09-29	2099-12-31
FROM ANOTHER HOSPITAL	8717	Admit Source	ALL_ADMIT_SOURCES.STNDRD_LABEL	8717	Visit	2020-09-29	2099-12-31
FROM NON SHANDS PSYCH OR REHAB HOSPITAL	8717	Admit Source	ALL_ADMIT_SOURCES.STNDRD_LABEL	8717	Visit	2020-09-29	2099-12-31
FROM SHANDS AGH	8717	Admit Source	ALL_ADMIT_SOURCES.STNDRD_LABEL	8717	Visit	2020-09-29	2099-12-31
FROM SHANDS UF	8717	Admit Source	ALL_ADMIT_SOURCES.STNDRD_LABEL	8717	Visit	2020-09-29	2099-12-31
FROM SPECIALITY HOSPITAL	8717	Admit Source	ALL_ADMIT_SOURCES.STNDRD_LABEL	8717	Visit	2020-09-29	2099-12-31
INTERNAL TRANSFER	8717	Admit Source	ALL_ADMIT_SOURCES.STNDRD_LABEL	8717	Visit	2020-09-29	2099-12-31
INTRAMURAL BIRTH	8717	Admit Source	ALL_ADMIT_SOURCES.STNDRD_LABEL	8717	Visit	2020-09-29	2099-12-31
FROM CUSTODIAL CARE	8827	Admit Source	ALL_ADMIT_SOURCES.STNDRD_LABEL	8827	Visit	2020-09-29	2099-12-31
